rho,Lambda,T,regime,frequency_expected,frequency_density_label,active_density,deltaOmega_frequency_peak,M_no0LL_frequency_peak
0.02,1.0,0.0002,electron,0.12566370614359174,|\rho|,0.02,0.06104320987654338,0.06104320987654338
0.01,1.0,0.0002,electron,0.06283185307179587,|\rho|,0.01,0.06104320987654338,0.06104320987654338
-0.01,1.0,0.0002,shallow_hole,0.06283185307179587,|\rho|,0.01,0.06104320987654338,0.06381790123456808
-0.02,1.0,0.0002,shallow_hole,0.12566370614359174,|\rho|,0.02,0.04716975308641988,0.12763580246913617
-0.14,1.0,0.0002,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.10266358024691387,0.10821296296296326
-0.15,1.0,0.0002,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.05826851851851868,0.05826851851851868
