rho,Lambda,window,window_method,regime,x_min,x_max,Bbar,F_expected,active_density,T,p1_amplitude,cos_coeff,sin_coeff,fit_rmse,p1_amplitude_norm,lk_fit_norm,m_eff_fit
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.000722128157528199,0.006131975133039188,0.0011763497409382842,0.006018082777696348,0.004559738424088827,1.0048041333458477,0.997890317334868,0.20643151418195388
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.0011078365961221508,0.006154399077967056,0.0012685084098447905,0.006022251607582897,0.004212003630535723,1.0084785893018153,0.9948087702489992,0.20643151418195388
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.0016995624819678722,0.006176579246925286,0.001417976084579153,0.006011611682162256,0.0037119154527580304,1.0121130993844571,0.9876085492063947,0.20643151418195388
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.0026073453794753566,0.00608724554022909,0.0016615381727894546,0.005856095044259649,0.0030302557169378567,0.9974746059483373,0.9709474735208375,0.20643151418195388
0.02,1.0,W1,manual,electron,31.861829664,47.783525188,0.025111320097907473,0.06283185307179587,0.02,0.004,0.0055855387651652,0.0019820424766828068,0.005222044706605668,0.002140524576651954,0.9152634047652763,0.9332512990814966,0.20643151418195388
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.0002,0.006655788034934296,0.0008095008126494942,0.006606377433987128,0.005296573634715486,1.0,1.0,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.00030682548092687834,0.00666120146613352,0.000839225560089355,0.00660812419917423,0.00514249020722316,1.0008133418869127,0.999092634225396,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.00047070937873005034,0.006669755408980421,0.0008848273378029008,0.006610803112928127,0.004909941648892128,1.0020985304779562,0.9969616491737993,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.000722128157528199,0.006683265948461192,0.0009547903040432751,0.006614712330341043,0.004563789578661285,1.0041284237693076,0.9919713116956936,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.0011078365961221508,0.006697785813917406,0.0010649727778284396,0.006612576486634966,0.004063607152051514,1.0063099634126982,0.9803633489065736,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.0016995624819678722,0.006629914204633717,0.0012443816266354737,0.006512086971785311,0.0033768802246532652,0.9961125819865695,0.9537816274350696,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.0026073453794753566,0.006170267052123447,0.0014766051043974564,0.005990979290582429,0.0024601868770543424,0.9270528177486287,0.8950542527833366,0.28832085132672536
0.02,1.0,W2,manual,electron,47.783525188,63.702544898,0.01793946094303267,0.06283185307179587,0.02,0.004,0.004960950642763629,0.0016427360594860666,0.004681073543408718,0.0013638100666884562,0.7453588691113722,0.7752069309977043,0.28832085132672536
