rho,Lambda,T,regime_mid,frequency_expected,frequency_density_label,active_density,target_min,target_max,mu_min,mu_max,deltaOmega_min,deltaOmega_max,Mtilde_min,Mtilde_max
0.02,1.0,0.0002,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.21960255870316567,0.32232339723465553,-0.001192465628226606,0.0008474942518708723,-0.013150195786826514,0.01540810550475244
0.02,1.0,0.00030682548092687834,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.2200593833710341,0.32184721795477245,-0.0011820589970895396,0.0008364809005199424,-0.012309235409022422,0.015023879868880104
0.02,1.0,0.00047070937873005034,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.2207602106148539,0.32111669827032635,-0.001166093899024423,0.0008238110670463588,-0.011174480290711702,0.014531932526297215
0.02,1.0,0.000722128157528199,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.22183536889190264,0.31999598799829576,-0.001141601404618163,0.0008043739282312768,-0.010115455649384493,0.013981727879076238
0.02,1.0,0.0011078365961221508,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.223255073487423,0.3182766756674534,-0.0011040269056468784,0.0007757358587543798,-0.008934345602509195,0.013143038511311964
0.02,1.0,0.0016995624819678722,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.2252178406255347,0.3156390293978113,-0.0010463875200113018,0.0007375623666262703,-0.007636037647235666,0.012063441702242925
0.02,1.0,0.0026073453794753566,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.227802497965378,0.31226845223472355,-0.0009581454710934113,0.0006861219436172423,-0.006173873358806672,0.010600655482255285
0.02,1.0,0.004,electron,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.23113348860156707,0.30755997104105065,-0.0008456887309578206,0.0006158110924506444,-0.004828918863703357,0.008867096053002654
0.01,1.0,0.0002,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.15643610311775263,0.2194281034444865,-0.0003064869526362296,0.00029227294053350443,-0.004251485495924006,0.005507201575586842
0.01,1.0,0.00030682548092687834,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.15696771306687352,0.21887981362829195,-0.0003008360946300828,0.0002871363645124777,-0.003870645805307143,0.005095003814248709
0.01,1.0,0.00047070937873005034,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.15778327045994267,0.2180653169733441,-0.0002921669584938281,0.00027925620245957945,-0.0034826968630728757,0.00474035612142917
0.01,1.0,0.000722128157528199,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.1590091295414296,0.21695967089736543,-0.0002788673991951688,0.00026716702989788973,-0.0030860850991744296,0.004241984193410608
0.01,1.0,0.0011078365961221508,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.1606749075762639,0.2154321729905563,-0.00025846418080285194,0.00025095656197126904,-0.002568970390405807,0.0036210386782486075
0.01,1.0,0.0016995624819678722,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.16298391510208193,0.21335423207541168,-0.00023170374404280218,0.00022805798080254624,-0.0019235956348919378,0.0032087990908687076
0.01,1.0,0.0026073453794753566,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.1661517223520122,0.21059883193478546,-0.00019462511593374972,0.00019693225134632047,-0.0012036770391163389,0.002644773486595949
0.01,1.0,0.004,electron,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.170416858903473,0.20707776686348178,-0.0001463536111453295,0.00015527800275471398,-0.000829047554183849,0.0018993924810041113
-0.01,1.0,0.0002,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.015536995401900174,0.04240880410565026,-0.00012765404522895914,0.00013892604068739298,-0.00015119453730550527,0.00019089727493398192
-0.01,1.0,0.00030682548092687834,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.016068605352020565,0.041880600525042465,-0.00012198478177475702,0.00013380763679590393,-0.00011135358445515475,0.00014058125270212754
-0.01,1.0,0.00047070937873005034,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.016799395777355116,0.04115797961810856,-0.0001132826281961929,0.00012646187578109898,-6.567397511607169e-05,7.979620080746444e-05
-0.01,1.0,0.000722128157528199,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.01782584360204502,0.04016904623073542,-0.00010156215830036097,0.00011628923052849257,-2.4902277232758004e-05,2.9556703190326524e-05
-0.01,1.0,0.0011078365961221508,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.019235218246019647,0.03880269247027261,-8.656729122953242e-05,0.00010239928698671974,-1.6800326339971104e-05,1.027088036790315e-05
-0.01,1.0,0.0016995624819678722,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.021070565945750887,0.036846405685731914,-7.700694355568932e-05,8.291666999025437e-05,-2.555317032955198e-05,1.0645018092069593e-05
-0.01,1.0,0.0026073453794753566,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.0193342630490545,0.036389783713352275,-5.9971167948659685e-05,5.485931357034299e-05,-3.2851301173198645e-05,1.4412519336681187e-05
-0.01,1.0,0.004,shallow_hole,0.06283185307179587,|\rho|,0.01,0.01,0.01,0.01669457979306283,0.03708450402644433,-3.281128954083999e-05,2.1886153750229088e-05,-2.767511530852291e-05,1.7339699239481642e-05
-0.02,1.0,0.0002,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.02475854714510679,0.06353994613109605,-3.753082802308291e-05,3.434919140275712e-05,-0.00023408021278632237,0.00023697767775703493
-0.02,1.0,0.00030682548092687834,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.024634267077994165,0.06342633486924615,-3.535730005260057e-05,2.9659796222002144e-05,-0.00019897197006162607,0.00018041806975243766
-0.02,1.0,0.00047070937873005034,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.024420959022570972,0.06325201527393064,-3.185122162010617e-05,2.3425528382703788e-05,-0.0001536347318664985,0.00014854368557121758
-0.02,1.0,0.000722128157528199,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.02409211384534165,0.06298309887415418,-2.5920058384016774e-05,1.5648648795890164e-05,-9.87585084044506e-05,0.00012361226562222695
-0.02,1.0,0.0011078365961221508,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.023605821251132312,0.06254607394363297,-1.7297893174165807e-05,8.236309540102758e-06,-4.798372081810413e-05,8.122010235962127e-05
