rho,T,invB,B,mu,E_ref,rank_by_abs_E_minus_mu,branch,n,E,E_minus_mu,abs_E_minus_mu,occupation
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,2,LL+,1,0.22701526064190927,-0.0205690911525003,0.0205690911525003,1.0
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,3,LL+,2,0.30519636682087325,0.05761201502646368,0.05761201502646368,7.890398061121605e-126
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,4,LLTR+,1,0.17976623401206349,-0.06781811778234609,0.06781811778234609,1.0
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,5,LLTR+,3,0.31877889979439933,0.07119454799998975,0.07119454799998975,2.529317273948005e-155
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,6,LLTR0,0,0.126357399103139,-0.12122695269127057,0.12122695269127057,1.0
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,7,LL+,3,0.38132602922297354,0.13374167742856397,0.13374167742856397,3.833870696021897e-291
0.02,0.0002,30.0,0.03333333333333333,0.24758435179440957,0.12421203288490285,8,LLTR+,4,0.3915488147953695,0.14396446300095994,0.14396446300095994,2.4273960595e-313
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,1,LL+,2,0.2788329542232591,8.256935480827066e-05,8.256935480827066e-05,0.39822971497971055
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,2,LLTR+,3,0.2920196886639219,0.013269303795471088,0.013269303795471088,1.5348746546122673e-29
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,3,LLTR+,2,0.23097045286185536,-0.04777993200659547,0.04777993200659547,1.0
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,4,LL+,3,0.344265298135081,0.06551491326663017,0.06551491326663017,5.447201360771196e-143
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,5,LL+,1,0.21149634405445458,-0.06725404081399625,0.06725404081399625,1.0
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,6,LLTR+,4,0.35426054585582345,0.07551016098737262,0.07551016098737262,1.0758922466005198e-164
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,7,LLTR+,1,0.1731757734906339,-0.10557461137781693,0.10557461137781693,1.0
0.02,0.0002,35.0,0.02857142857142857,0.27875038486845083,0.12155727098014094,8,LL+,4,0.4089966213995744,0.13024623653112355,0.13024623653112355,1.4924195495717233e-283
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,1,LLTR+,3,0.27191182130198444,0.0007203769194427112,0.0007203769194427112,0.026548245627158518
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,2,LL+,2,0.2590984419502379,-0.012093002432303823,0.012093002432303823,1.0
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,3,LL+,3,0.3164924920920751,0.04530104770953336,0.04530104770953336,4.266038559245366e-99
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,4,LLTR+,2,0.2186242497907187,-0.05256719459182302,0.05256719459182302,1.0
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,5,LLTR+,4,0.3262701696941135,0.05507872531157176,0.05507872531157176,2.5007347818410475e-120
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,6,LL+,1,0.19993669118036786,-0.07125475320217386,0.07125475320217386,1.0
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,7,LL+,4,0.3732243259156618,0.10203288153312007,0.10203288153312007,2.7441818487491325e-222
0.02,0.0002,40.0,0.025,0.2711914443825417,0.11956619955156951,8,LLTR+,1,0.1681189583954214,-0.10307248598712032,0.10307248598712032,1.0
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,1,LL+,3,0.27766131222593193,0.00018574317265884766,0.00018574317265884766,0.2831853106115778
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,2,LLTR+,4,0.2870311619561936,0.009555592902920518,0.009555592902920518,1.77948222698419e-21
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,3,LLTR+,3,0.24367992363176919,-0.0337956454215039,0.0337956454215039,1.0
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,4,LL+,4,0.3231774686794884,0.04570189962621529,0.04570189962621529,5.748915155084496e-100
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,5,LL+,2,0.2315534206774795,-0.04592214837579359,0.04592214837579359,1.0
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,6,LLTR+,5,0.3308168006469452,0.0533412315936721,0.0533412315936721,1.4824747488800797e-116
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,7,LLTR+,2,0.2012062416331555,-0.07626932742011758,0.07626932742011758,1.0
0.02,0.0002,50.0,0.02,0.2774755690532731,0.11677869955156951,8,LL+,5,0.36839633400597804,0.09092076495270496,0.09092076495270496,3.698856246507057e-198
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,1,LLTR+,4,0.2608200882803535,-3.1925511134289764e-05,3.1925511134289764e-05,0.5398223654766648
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,2,LL+,3,0.25182539720549957,-0.009026616585988245,0.009026616585988245,1.0
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,3,LL+,4,0.2898483213930605,0.02899630760157268,0.02899630760157268,1.0847210430559545e-63
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,4,LLTR+,3,0.22478169606277087,-0.03607031772871694,0.03607031772871694,1.0
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,5,LLTR+,5,0.29723569470245526,0.03638368091096744,0.03638368091096744,9.859178854663662e-80
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,6,LL+,2,0.2132726580039645,-0.047579355787523314,0.047579355787523314,1.0
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,7,LL+,5,0.3275997039801862,0.06674769018869836,0.06674769018869836,1.1461259779394953e-145
0.02,0.0002,60.0,0.016666666666666666,0.2608520137914878,0.11492036621823618,8,LLTR+,2,0.18947455157979848,-0.07137746221168934,0.07137746221168934,1.0
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,1,LL+,4,0.2660695748435494,-0.0002728621677742793,0.0002728621677742793,0.7964594287603107
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,2,LLTR+,5,0.27322109101069925,0.006878653999375595,0.006878653999375595,1.156625134683967e-15
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,3,LLTR+,4,0.2420592339322761,-0.02428320307904755,0.02428320307904755,1.0
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,4,LL+,5,0.29847983324689853,0.03213739623557488,0.03213739623557488,1.6388181334522258e-70
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,5,LL+,3,0.23341087529437274,-0.03293156171695091,0.03293156171695091,1.0
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,6,LLTR+,6,0.3045777118615939,0.03823527485027023,0.03823527485027023,9.40060040537767e-84
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,7,LLTR+,3,0.2112275950745965,-0.05511484193672714,0.05511484193672714,1.0
0.02,0.0002,70.0,0.014285714285714285,0.26634243701132365,0.11359298526585522,8,LL+,6,0.33074273181983604,0.06440029480851239,0.06440029480851239,1.4339587507616416e-140
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,1,LL+,5,0.2766566396877631,0.000576217268920598,0.000576217268920598,0.05309649145020979
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,2,LLTR+,6,0.2825926805555242,0.0065122581366817145,0.0065122581366817145,7.224555513636677e-15
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,3,LLTR+,5,0.2551880468356839,-0.020892375583158596,0.020892375583158596,1.0
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,4,LL+,4,0.24825780142579001,-0.027822620993052494,0.027822620993052494,1.0
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,5,LL+,6,0.30491870189801307,0.02883827947917056,0.02883827947917056,2.3904065659973338e-63
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,6,LLTR+,7,0.31011055373353286,0.03403013131469035,0.03403013131469035,1.2720634021173971e-74
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,7,LLTR+,4,0.22795888283181318,-0.04812153958702933,0.04812153958702933,1.0
0.02,0.0002,80.0,0.0125,0.2760804224188425,0.1125974495515695,8,LL+,3,0.21963126958314919,-0.05644915283569332,0.05644915283569332,1.0
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,1,LLTR+,6,0.2654794163926577,0.0001602730509766559,0.0001602730509766559,0.30973355338519876
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,2,LL+,5,0.2596968451817545,-0.005622298159926542,0.005622298159926542,0.9999999999993816
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,3,LL+,6,0.2848441821868295,0.019525038845148446,0.019525038845148446,3.998681864760204e-43
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,4,LLTR+,5,0.2411446233298995,-0.024174520011781553,0.024174520011781553,1.0
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,5,LLTR+,7,0.2899181528760525,0.02459900953437144,0.02459900953437144,3.836449577924247e-54
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,6,LL+,4,0.234422387670312,-0.03089675567136904,0.03089675567136904,1.0
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,7,LL+,7,0.3099080985471706,0.044588955205489555,0.044588955205489555,1.5007695246216386e-97
0.02,0.0002,90.0,0.011111111111111112,0.26531914334168105,0.11182314399601395,8,LLTR+,4,0.21696859369010293,-0.04835054965157812,0.04835054965157812,1.0
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,1,LL+,6,0.26879371890375203,-5.3411688051951955e-05,5.3411688051951955e-05,0.5663706143088474
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,2,LLTR+,7,0.2737550435572824,0.004907912965478434,0.004907912965478434,2.200910625754806e-11
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,3,LLTR+,6,0.2517773967717405,-0.017069733820063493,0.017069733820063493,1.0
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,4,LL+,7,0.2913685594403205,0.02252142884851649,0.02252142884851649,1.2454853759301601e-49
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,5,LL+,5,0.24614056468777273,-0.02270656590403125,0.02270656590403125,1.0
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,6,LLTR+,8,0.2957992044314059,0.02695207383960191,0.02695207383960191,2.9806794820571023e-59
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,7,LLTR+,5,0.2298954306023368,-0.03895169998946718,0.03895169998946718,1.0
0.02,0.0002,100.0,0.01,0.268847130591804,0.1112036995515695,8,LL+,8,0.3138887409010762,0.04504161030927223,0.04504161030927223,1.5609390059315813e-98
