rho,T,invB,B,mu,E_ref,rank_by_abs_E_minus_mu,branch,n,E,E_minus_mu,abs_E_minus_mu,occupation
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,4,LLTR+,2,0.2701390933890049,0.0813218934465531,0.0813218934465531,2.580786576756741e-177
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,5,LL+,2,0.34217040853340985,0.15335320859095808,0.15335320859095808,0.0
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,6,LLTR+,3,0.35617340094324157,0.1673562010007898,0.1673562010007898,0.0
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,7,LL+,3,0.43324951165639614,0.24443231171394436,0.24443231171394436,0.0
0.01,0.0002,25.0,0.04,0.18881719994245177,0.1279286995515695,8,LLTR+,4,0.443710536516414,0.25489333657396224,0.25489333657396224,0.0
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,1,LLTR+,1,0.17976623401206349,-0.00040804385058013093,0.00040804385058013093,0.8849555917992864
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,2,LL+,1,0.22701526064190927,0.046840982779265655,0.046840982779265655,1.9324054790695685e-102
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,3,LLTR0,0,0.126357399103139,-0.05381687875950461,0.05381687875950461,1.0
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,4,LLTR+,2,0.24734278983601662,0.06716851197337301,0.06716851197337301,1.3977498732814182e-146
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,5,LL+,2,0.30519636682087325,0.12502208895822964,0.12502208895822964,3.295969977482461e-272
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,6,LLTR+,3,0.31877889979439933,0.1386046219317557,0.1386046219317557,1.0565441355282305e-301
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,7,LL+,3,0.38132602922297354,0.20115175136032992,0.20115175136032992,0.0
0.01,0.0002,30.0,0.03333333333333333,0.18017427786264362,0.12421203288490285,8,LLTR+,4,0.3915488147953695,0.2113745369327259,0.2113745369327259,0.0
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,1,LL+,1,0.21149634405445458,0.0002783671425189149,0.0002783671425189149,0.1991148574947421
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,2,LLTR+,2,0.23097045286185536,0.01975247594991969,0.01975247594991969,1.2824588979222368e-43
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,3,LLTR+,1,0.1731757734906339,-0.03804220342130177,0.03804220342130177,1.0
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,4,LL+,2,0.2788329542232591,0.06761497731132343,0.06761497731132343,1.4994855963230374e-147
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,5,LLTR+,3,0.2920196886639219,0.08080171175198625,0.08080171175198625,3.477861547362347e-176
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,6,LLTR0,0,0.126357399103139,-0.08486057780879666,0.08486057780879666,1.0
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,7,LL+,3,0.344265298135081,0.13304732122314533,0.13304732122314533,1.2342774764334844e-289
0.01,0.0002,35.0,0.02857142857142857,0.21121797691193567,0.12155727098014094,8,LLTR+,4,0.35426054585582345,0.14304256894388778,0.14304256894388778,2.437856578264e-311
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,1,LL+,1,0.19993669118036786,-1.06217941666098e-05,1.06217941666098e-05,0.5132741228135249
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,2,LLTR+,2,0.2186242497907187,0.018676936816184236,0.018676936816184236,2.7768154009231844e-41
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,3,LLTR+,1,0.1681189583954214,-0.031828354579113066,0.031828354579113066,1.0
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,4,LL+,2,0.2590984419502379,0.05915112897570343,0.05915112897570343,3.5888510795060143e-129
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,5,LLTR+,3,0.27191182130198444,0.07196450832744997,0.07196450832744997,5.383388253383243e-157
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,6,LLTR0,0,0.126357399103139,-0.07358991387139546,0.07358991387139546,1.0
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,7,LL+,3,0.3164924920920751,0.11654517911754061,0.11654517911754061,8.420911131439023e-254
0.01,0.0002,40.0,0.025,0.19994731297453447,0.11956619955156951,8,LLTR+,4,0.3262701696941135,0.12632285671957902,0.12632285671957902,4.9363045056267205e-275
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,1,LLTR+,2,0.2012062416331555,0.0003604248891133366,0.0003604248891133366,0.14159265425673773
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,2,LL+,1,0.18392099526777073,-0.016924821476271446,0.016924821476271446,1.0
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,3,LL+,2,0.2315534206774795,0.030707603933437327,0.030707603933437327,2.0858606741126403e-67
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,4,LLTR+,1,0.1608326606118333,-0.04001315613220888,0.04001315613220888,1.0
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,5,LLTR+,3,0.24367992363176919,0.042834106887727014,0.042834106887727014,9.703283203285267e-94
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,6,LLTR0,0,0.126357399103139,-0.07448841764090317,0.07448841764090317,1.0
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,7,LL+,3,0.27766131222593193,0.07681549548188976,0.07681549548188976,1.5749651114261859e-167
0.01,0.0002,50.0,0.02,0.20084581674404217,0.11677869955156951,8,LLTR+,4,0.2870311619561936,0.08618534521215143,0.08618534521215143,7.094156536313891e-188
