rho,T,invB,B,mu,E_ref,active_level_count,density_residual,active_vs_labeled_spectrum_error,below_branch,below_n,below_E,below_E_minus_mu,above_branch,above_n,above_E,above_E_minus_mu,nearest_LLplus_branch,nearest_LLplus_n,nearest_LLplus_E,nearest_LLplus_E_minus_mu,nearest_LLTRplus_branch,nearest_LLTRplus_n,nearest_LLTRplus_E,nearest_LLTRplus_E_minus_mu,fermi_bracketing_spacing,nearest_LLplus_LLTRplus_energy_difference,nearest_LLplus_LLTRplus_abs_splitting,nearest_LLplus_LLTRplus_n_difference
0.01,0.0002,11.001112347052281,0.09089989888776541,0.18641455333782814,0.15630539318149872,11,4.763255762041396e-13,0.0,LL0,0,0.18625338725985843,-0.0001611660779697044,LLTR+,1,0.25274489754299667,0.06633034420516853,LL+,1,0.4177954358126309,0.23138088247480276,LLTR+,1,0.25274489754299667,0.06633034420516853,0.06649151028313824,-0.16505053826963423,0.16505053826963423,0
0.01,0.0002,11.101223581757509,0.09008016032064128,0.1855064729137958,0.15584838893032704,11,6.615953791755391e-11,0.0,LL0,0,0.18533937875751505,-0.00016709415628074487,LLTR+,1,0.25175266048603295,0.06624618757223716,LL+,1,0.4150637466714404,0.22955727375764462,LLTR+,1,0.25175266048603295,0.06624618757223716,0.0664132817285179,-0.16331108618540746,0.16331108618540746,0
0.01,0.0002,11.201334816462737,0.08927507447864945,0.18461480050630352,0.15539955357341656,11,-1.218641507150231e-12,0.0,LL0,0,0.18444170804369414,-0.00017309246260938105,LLTR+,1,0.25077736740780154,0.06616256690149802,LL+,1,0.412381060697785,0.2277662601914815,LLTR+,1,0.25077736740780154,0.06616256690149802,0.0663356593641074,-0.16160369328998347,0.16160369328998347,0
0.01,0.0002,11.301446051167964,0.08848425196850394,0.18373910595847526,0.15495867002401045,11,1.310045821822925e-13,0.0,LL0,0,0.1835599409448819,-0.00017916501359335757,LLTR+,1,0.24981857616341832,0.06607947020494306,LL+,1,0.4097460753690687,0.22600696941059345,LLTR+,1,0.24981857616341832,0.06607947020494306,0.06625863521853642,-0.1599274992056504,0.1599274992056504,0
0.01,0.0002,11.401557285873192,0.08770731707317074,0.18287897458058053,0.1545255288198622,11,-9.175939522099164e-12,0.0,LL0,0,0.18269365853658537,-0.00018531604399515955,LLTR+,1,0.24887586000715997,0.06599688542657944,LL+,1,0.407157533909832,0.22427855932925148,LLTR+,1,0.24887586000715997,0.06599688542657944,0.0661822014705746,-0.15828167390267203,0.15828167390267203,0
0.01,0.0002,11.50166852057842,0.08694390715667312,0.18203400653459786,0.1540999277914148,11,2.3211640942655265e-13,0.0,LL0,0,0.18184245647969055,-0.00019155005490731347,LLTR+,1,0.24794880692512758,0.06591480039052972,LL+,1,0.40461422330082586,0.222580216766228,LLTR+,1,0.24794880692512758,0.06591480039052972,0.06610635044543703,-0.15666541637569828,0.15666541637569828,0
0.01,0.0002,11.601779755283648,0.08619367209971238,0.18120381621792417,0.15368167174715916,11,-3.807737111727327e-12,0.0,LL0,0,0.18100594439117929,-0.00019787182674488313,LLTR+,1,0.24703701900238154,0.06583320278445737,LL+,1,0.4021149723911627,0.2209111561732385,LLTR+,1,0.24703701900238154,0.06583320278445737,0.06603107461120225,-0.15507795338878114,0.15507795338878114,0
0.01,0.0002,11.701890989988877,0.08545627376425854,0.18038803170216394,0.15327057217514364,11,4.767349709444701e-13,0.0,LL0,0,0.18018374524714828,-0.000204286455015662,LLTR+,1,0.24614011182248643,0.06575208012032249,LL+,1,0.3996586501073722,0.21927061840520828,LLTR+,1,0.24614011182248643,0.06575208012032249,0.06595636657533815,-0.1535185382848858,0.1535185382848858,0
0.01,0.0002,11.802002224694105,0.08473138548539114,0.17958629419096928,0.15286644695967505,11,1.164866814118426e-14,0.0,LL0,0,0.17937549481621112,-0.0002107993747581527,LLTR+,1,0.24525771389754386,0.06567141970657459,LL+,1,0.39724416375360794,0.21765786956263866,LLTR+,1,0.24525771389754386,0.06567141970657459,0.06588221908133274,-0.15198644985606408,0.15198644985606408,0
0.01,0.0002,11.902113459399333,0.08401869158878504,0.1787982575201755,0.15246912011231717,11,-4.504199097032924e-12,0.0,LL0,0,0.1785808411214953,-0.00021741639868019802,LLTR+,1,0.2443894661269201,0.06559120860674461,LL+,1,0.39487045739763793,0.21607219987746243,LLTR+,1,0.2443894661269201,0.06559120860674461,0.06580862500542481,-0.15048099127071782,0.15048099127071782,0
0.01,0.0002,12.00222469410456,0.08331788693234476,0.17802358768349322,0.1520784215163517,13,-2.676033873660888e-11,0.0,LL0,0,0.17779944392956443,-0.0002241437539287905,LLTR+,1,0.24353502128299656,0.06551143359950334,LL+,1,0.3925365103376106,0.2145129226541174,LLTR+,1,0.24353502128299656,0.06551143359950334,0.06573557735343213,-0.14900148905461405,0.14900148905461405,0
0.01,0.0002,12.102335928809788,0.08262867647058823,0.17726196239865064,0.15169418668392243,13,1.786112924229144e-12,0.0,LL0,0,0.17703097426470588,-0.00023098813394475948,LLTR+,1,0.2426940435223792,0.06543208112372856,LL+,1,0.39024133564491814,0.2129793732462675,LLTR+,1,0.2426940435223792,0.06543208112372856,0.06566306925767332,-0.14754729212253895,0.14754729212253895,0
0.01,0.0002,12.202447163515018,0.08195077484047401,0.17651307067664823,0.15131625652513375,13,3.211798882407635e-12,0.0,LL0,0,0.17627511394712853,-0.00023795672951970603,LLTR+,1,0.24186620792110794,0.06535313724445971,LL+,1,0.387983978778789,0.21147090810214075,LLTR+,1,0.24186620792110794,0.06535313724445971,0.06559109397397941,-0.14611777085768105,0.14611777085768105,0
0.01,0.0002,12.302558398220246,0.08128390596745026,0.1757766124556303,0.15094447712842302,13,-3.95747809522895e-11,0.0,LL0,0,0.17553155515370705,-0.00024505730192325714,LLTR+,1,0.24105120003250038,0.06527458757687007,LL+,1,0.3857635162685208,0.20998690381289048,LLTR+,1,0.24105120003250038,0.06527458757687007,0.06551964487879333,-0.1447123162360204,0.1447123162360204,0
0.01,0.0002,12.402669632925473,0.08062780269058295,0.17505229825587681,0.1505786995515695,13,4.1472936196385035e-12,0.0,LL0,0,0.1748,-0.0002522982558768039,LLTR+,1,0.24024871546635304,0.06519641721047623,LL+,1,0.38357905445953366,0.20852675620365685,LLTR+,1,0.24024871546635304,0.06519641721047623,0.06544871546635303,-0.14333033899318062,0.14333033899318062,0
